CODE,NAME,CONTINENT,REGION,SURFACEAREA,POPULATION,LIFEEXPECTANCY,GOVERNMENTFORM,HEADOFSTATE
AFG,Afghanistan,Asia,Southern and Central Asia,652090,22720000,45.9,Islamic Emirate,Mohammad Omar
NLD,Netherlands,Europe,Western Europe,41526,15864000,78.3,Constitutional Monarchy,Beatrix
ANT,Netherlands Antilles,North America,Caribbean,800,217000,74.7,Nonmetropolitan Territory of The Netherlands,Beatrix
ALB,Albania,Europe,Southern Europe,28748,3401200,71.6,Republic,Rexhep Mejdani
ASM,American Samoa,Oceania,Polynesia,199,68000,75.1,US Territory,George W. Bush
AIA,Anguilla,North America,Caribbean,96,8000,76.1,Dependent Territory of the UK,Elisabeth II
ATG,Antigua and Barbuda,North America,Caribbean,442,68000,70.5,Constitutional Monarchy,Elisabeth II
ARE,United Arab Emirates,Asia,Middle East,83600,2441000,74.1,Emirate Federation,Zayid bin Sultan al-Nahayan
ABW,Aruba,North America,Caribbean,193,103000,78.4,Nonmetropolitan Territory of The Netherlands,Beatrix
AZE,Azerbaijan,Asia,Middle East,86600,7734000,62.9,Federal Republic,Heydär Äliyev
BHS,Bahamas,North America,Caribbean,13878,307000,71.1,Constitutional Monarchy,Elisabeth II
BHR,Bahrain,Asia,Middle East,694,617000,73,Monarchy (Emirate),Hamad ibn Isa al-Khalifa
BGD,Bangladesh,Asia,Southern and Central Asia,143998,129155000,60.2,Republic,Shahabuddin Ahmad
BRB,Barbados,North America,Caribbean,430,270000,73,Constitutional Monarchy,Elisabeth II
BLZ,Belize,North America,Central America,22696,241000,70.9,Constitutional Monarchy,Elisabeth II
BEN,Benin,Africa,Western Africa,112622,6097000,50.2,Republic,Mathieu Kérékou
BMU,Bermuda,North America,North America,53,65000,76.9,Dependent Territory of the UK,Elisabeth II
BTN,Bhutan,Asia,Southern and Central Asia,47000,2124000,52.4,Monarchy,Jigme Singye Wangchuk
BIH,Bosnia and Herzegovina,Europe,Southern Europe,51197,3972000,71.5,Federal Republic,Ante Jelavic
BWA,Botswana,Africa,Southern Africa,581730,1622000,39.3,Republic,Festus G. Mogae
GBR,United Kingdom,Europe,British Islands,242900,59623400,77.7,Constitutional Monarchy,Elisabeth II
BGR,Bulgaria,Europe,Eastern Europe,110994,8190900,70.9,Republic,Petar Stojanov
BDI,Burundi,Africa,Eastern Africa,27834,6695000,46.2,Republic,Pierre Buyoya
CYM,Cayman Islands,North America,Caribbean,264,38000,78.9,Dependent Territory of the UK,Elisabeth II
CHL,Chile,South America,South America,756626,15211000,75.7,Republic,Ricardo Lagos Escobar
COK,Cook Islands,Oceania,Polynesia,236,20000,71.1,Nonmetropolitan Territory of New Zealand,Elisabeth II
CRI,Costa Rica,North America,Central America,51100,4023000,75.8,Republic,Miguel Ángel Rodríguez Echeverría
DJI,Djibouti,Africa,Eastern Africa,23200,638000,50.8,Republic,Ismail Omar Guelleh
DMA,Dominica,North America,Caribbean,751,71000,73.4,Republic,Vernon Shaw
DOM,Dominican Republic,North America,Caribbean,48511,8495000,73.2,Republic,Hipólito Mejía Domínguez
ECU,Ecuador,South America,South America,283561,12646000,71.1,Republic,Gustavo Noboa Bejarano
SLV,El Salvador,North America,Central America,21041,6276000,69.7,Republic,Francisco Guillermo Flores Pérez
ERI,Eritrea,Africa,Eastern Africa,117600,3850000,55.8,Republic,Isayas Afewerki [Isaias Afwerki]
ESP,Spain,Europe,Southern Europe,505992,39441700,78.8,Constitutional Monarchy,Juan Carlos I
FJI,Fiji Islands,Oceania,Melanesia,18274,817000,67.9,Republic,Josefa Iloilo
PHL,Philippines,Asia,Southeast Asia,300000,75967000,67.5,Republic,Gloria Macapagal-Arroyo
FRO,Faroe Islands,Europe,Nordic Countries,1399,43000,78.4,Part of Denmark,Margrethe II
GAB,Gabon,Africa,Central Africa,267668,1226000,50.1,Republic,Omar Bongo
GMB,Gambia,Africa,Western Africa,11295,1305000,53.2,Republic,Yahya Jammeh
GHA,Ghana,Africa,Western Africa,238533,20212000,57.4,Republic,John Kufuor
GIB,Gibraltar,Europe,Southern Europe,6,25000,79,Dependent Territory of the UK,Elisabeth II
GRD,Grenada,North America,Caribbean,344,94000,64.5,Constitutional Monarchy,Elisabeth II
GLP,Guadeloupe,North America,Caribbean,1705,456000,77,Overseas Department of France,Jacques Chirac
GUM,Guam,Oceania,Micronesia,549,168000,77.8,US Territory,George W. Bush
GTM,Guatemala,North America,Central America,108889,11385000,66.2,Republic,Alfonso Portillo Cabrera
GIN,Guinea,Africa,Western Africa,245857,7430000,45.6,Republic,Lansana Conté
GNB,Guinea-Bissau,Africa,Western Africa,36125,1213000,49,Republic,Kumba Ialá
